
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1068
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       4856
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       9108
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       2480
  TCP    0.0.0.0:8082           0.0.0.0:0              LISTENING       15952
  TCP    0.0.0.0:33060          0.0.0.0:0              LISTENING       4856
  TCP    0.0.0.0:35729          0.0.0.0:0              LISTENING       15952
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       660
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       988
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1544
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       1376
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       3484
  TCP    0.0.0.0:49676          0.0.0.0:0              LISTENING       412
  TCP    0.0.0.0:60914          0.0.0.0:0              LISTENING       15952
  TCP    0.0.0.0:60919          0.0.0.0:0              LISTENING       15952
  TCP    0.0.0.0:60921          0.0.0.0:0              LISTENING       15952
  TCP    25.60.14.164:139       0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:3306         127.0.0.1:61169        ESTABLISHED     4856
  TCP    127.0.0.1:3306         127.0.0.1:61170        ESTABLISHED     4856
  TCP    127.0.0.1:3306         127.0.0.1:61171        ESTABLISHED     4856
  TCP    127.0.0.1:3306         127.0.0.1:61172        ESTABLISHED     4856
  TCP    127.0.0.1:3306         127.0.0.1:61173        ESTABLISHED     4856
  TCP    127.0.0.1:3306         127.0.0.1:61174        ESTABLISHED     4856
  TCP    127.0.0.1:3306         127.0.0.1:61175        ESTABLISHED     4856
  TCP    127.0.0.1:3306         127.0.0.1:61176        ESTABLISHED     4856
  TCP    127.0.0.1:3306         127.0.0.1:61177        ESTABLISHED     4856
  TCP    127.0.0.1:3306         127.0.0.1:61178        ESTABLISHED     4856
  TCP    127.0.0.1:12025        0.0.0.0:0              LISTENING       2472
  TCP    127.0.0.1:12110        0.0.0.0:0              LISTENING       2472
  TCP    127.0.0.1:12119        0.0.0.0:0              LISTENING       2472
  TCP    127.0.0.1:12143        0.0.0.0:0              LISTENING       2472
  TCP    127.0.0.1:12465        0.0.0.0:0              LISTENING       2472
  TCP    127.0.0.1:12563        0.0.0.0:0              LISTENING       2472
  TCP    127.0.0.1:12993        0.0.0.0:0              LISTENING       2472
  TCP    127.0.0.1:12995        0.0.0.0:0              LISTENING       2472
  TCP    127.0.0.1:27275        0.0.0.0:0              LISTENING       2472
  TCP    127.0.0.1:49672        127.0.0.1:49673        ESTABLISHED     4856
  TCP    127.0.0.1:49673        127.0.0.1:49672        ESTABLISHED     4856
  TCP    127.0.0.1:49674        127.0.0.1:49675        ESTABLISHED     4856
  TCP    127.0.0.1:49675        127.0.0.1:49674        ESTABLISHED     4856
  TCP    127.0.0.1:49871        127.0.0.1:49872        ESTABLISHED     9760
  TCP    127.0.0.1:49872        127.0.0.1:49871        ESTABLISHED     9760
  TCP    127.0.0.1:49873        127.0.0.1:49874        ESTABLISHED     7720
  TCP    127.0.0.1:49874        127.0.0.1:49873        ESTABLISHED     7720
  TCP    127.0.0.1:49875        127.0.0.1:49876        ESTABLISHED     2008
  TCP    127.0.0.1:49876        127.0.0.1:49875        ESTABLISHED     2008
  TCP    127.0.0.1:61169        127.0.0.1:3306         ESTABLISHED     15952
  TCP    127.0.0.1:61170        127.0.0.1:3306         ESTABLISHED     15952
  TCP    127.0.0.1:61171        127.0.0.1:3306         ESTABLISHED     15952
  TCP    127.0.0.1:61172        127.0.0.1:3306         ESTABLISHED     15952
  TCP    127.0.0.1:61173        127.0.0.1:3306         ESTABLISHED     15952
  TCP    127.0.0.1:61174        127.0.0.1:3306         ESTABLISHED     15952
  TCP    127.0.0.1:61175        127.0.0.1:3306         ESTABLISHED     15952
  TCP    127.0.0.1:61176        127.0.0.1:3306         ESTABLISHED     15952
  TCP    127.0.0.1:61177        127.0.0.1:3306         ESTABLISHED     15952
  TCP    127.0.0.1:61178        127.0.0.1:3306         ESTABLISHED     15952
  TCP    127.0.0.1:61225        127.0.0.1:61226        ESTABLISHED     8388
  TCP    127.0.0.1:61226        127.0.0.1:61225        ESTABLISHED     8388
  TCP    127.0.0.1:61258        127.0.0.1:61259        ESTABLISHED     14560
  TCP    127.0.0.1:61259        127.0.0.1:61258        ESTABLISHED     14560
  TCP    127.0.0.1:61261        127.0.0.1:61262        ESTABLISHED     2072
  TCP    127.0.0.1:61262        127.0.0.1:61261        ESTABLISHED     2072
  TCP    127.0.0.1:61295        127.0.0.1:61296        ESTABLISHED     17840
  TCP    127.0.0.1:61296        127.0.0.1:61295        ESTABLISHED     17840
  TCP    127.0.0.1:61306        127.0.0.1:61307        ESTABLISHED     16980
  TCP    127.0.0.1:61307        127.0.0.1:61306        ESTABLISHED     16980
  TCP    127.0.0.1:61314        127.0.0.1:61315        ESTABLISHED     15892
  TCP    127.0.0.1:61315        127.0.0.1:61314        ESTABLISHED     15892
  TCP    127.0.0.1:61944        127.0.0.1:61945        ESTABLISHED     8660
  TCP    127.0.0.1:61945        127.0.0.1:61944        ESTABLISHED     8660
  TCP    127.0.0.1:61946        127.0.0.1:61947        ESTABLISHED     17996
  TCP    127.0.0.1:61947        127.0.0.1:61946        ESTABLISHED     17996
  TCP    127.0.0.1:61948        127.0.0.1:61949        ESTABLISHED     13708
  TCP    127.0.0.1:61949        127.0.0.1:61948        ESTABLISHED     13708
  TCP    127.0.0.1:61950        127.0.0.1:61951        ESTABLISHED     19004
